대상,정격용량,년,월,일,시,인버터출력,경사일사량,수평일사량,표면온도,주위온도
경기도연성,1490,2015,1,1,0,0,19,0,-2,-1
경기도연성,1490,2015,1,1,1,0,0,0,-2,-2
경기도연성,1490,2015,1,1,2,0,0,0,-3,-2
경기도연성,1490,2015,1,1,3,0,0,0,-3,-2
경기도연성,1490,2015,1,1,4,0,0,0,-3,-3
경기도연성,1490,2015,1,1,5,0,0,0,-4,-3
경기도연성,1490,2015,1,1,6,0,0,0,-4,-3
경기도연성,1490,2015,1,1,7,0,0,0,-5,-4
경기도연성,1490,2015,1,1,8,14,40,0,-5,-4
경기도연성,1490,2015,1,1,9,159,234,74,1,-2
경기도연성,1490,2015,1,1,10,289,354,179,6,-1
경기도연성,1490,2015,1,1,11,821,419,258,9,0
경기도연성,1490,2015,1,1,12,1174,453,304,10,0
경기도연성,1490,2015,1,1,13,1116,412,335,9,1
경기도연성,1490,2015,1,1,14,924,397,280,8,0
경기도연성,1490,2015,1,1,15,127,95,23,5,0
경기도연성,1490,2015,1,1,16,261,146,105,2,0
경기도연성,1490,2015,1,1,17,18,0,11,-2,-1
경기도연성,1490,2015,1,1,18,0,14,0,-4,-2
경기도연성,1490,2015,1,1,19,0,19,0,-3,-2
경기도연성,1490,2015,1,1,20,0,16,0,-3,-2
경기도연성,1490,2015,1,1,21,0,16,0,-4,-2
경기도연성,1490,2015,1,1,22,0,0,0,-4,-3
경기도연성,1490,2015,1,1,23,0,0,0,-4,-3
경기도연성,1490,2015,1,2,0,0,0,0,-3,-2
경기도연성,1490,2015,1,2,1,0,21,0,-3,-3
경기도연성,1490,2015,1,2,2,0,14,0,-3,-3
경기도연성,1490,2015,1,2,3,0,0,0,-4,-3
경기도연성,1490,2015,1,2,4,0,11,0,-4,-3
경기도연성,1490,2015,1,2,5,0,0,0,-3,-3
경기도연성,1490,2015,1,2,6,0,0,0,-4,-3
경기도연성,1490,2015,1,2,7,0,0,0,-4,-3
경기도연성,1490,2015,1,2,8,9,31,0,-6,-4
경기도연성,1490,2015,1,2,9,161,153,55,1,-2
경기도연성,1490,2015,1,2,10,300,234,151,8,1
경기도연성,1490,2015,1,2,11,214,71,76,4,1
경기도연성,1490,2015,1,2,12,1141,448,316,14,3
경기도연성,1490,2015,1,2,13,1120,402,335,11,3
경기도연성,1490,2015,1,2,14,919,318,299,11,4
경기도연성,1490,2015,1,2,15,606,326,210,9,3
