year,month,day,hour,gen,S_irradiation,H_irradiation,surface_temp,surround_temp,maxgen
2015,1,1,0,0.0,19.0,0,-2.0,-1.0,1490
2015,1,1,1,0.0,0.0,0,-2.0,-2.0,1490
2015,1,1,2,0.0,0.0,0,-3.0,-2.0,1490
2015,1,1,3,0.0,0.0,0,-3.0,-2.0,1490
2015,1,1,4,0.0,0.0,0,-3.0,-3.0,1490
2015,1,1,5,0.0,0.0,0,-4.0,-3.0,1490
2015,1,1,6,0.0,0.0,0,-4.0,-3.0,1490
2015,1,1,7,0.0,0.0,0,-5.0,-4.0,1490
2015,1,1,8,14.0,40.0,0,-5.0,-4.0,1490
2015,1,1,9,159.0,234.0,74,1.0,-2.0,1490
2015,1,1,10,289.0,354.0,179,6.0,-1.0,1490
2015,1,1,11,821.0,419.0,258,9.0,0.0,1490
2015,1,1,12,1174.0,453.0,304,10.0,0.0,1490
2015,1,1,13,1116.0,412.0,335,9.0,1.0,1490
2015,1,1,14,924.0,397.0,280,8.0,0.0,1490
2015,1,1,15,127.0,95.0,23,5.0,0.0,1490
2015,1,1,16,261.0,146.0,105,2.0,0.0,1490
2015,1,1,17,18.0,0.0,11,-2.0,-1.0,1490
2015,1,1,18,0.0,14.0,0,-4.0,-2.0,1490
2015,1,1,19,0.0,19.0,0,-3.0,-2.0,1490
2015,1,1,20,0.0,16.0,0,-3.0,-2.0,1490
2015,1,1,21,0.0,16.0,0,-4.0,-2.0,1490
2015,1,1,22,0.0,0.0,0,-4.0,-3.0,1490
2015,1,1,23,0.0,0.0,0,-4.0,-3.0,1490
2015,1,2,0,0.0,0.0,0,-3.0,-2.0,1490
2015,1,2,1,0.0,21.0,0,-3.0,-3.0,1490
2015,1,2,2,0.0,14.0,0,-3.0,-3.0,1490
2015,1,2,3,0.0,0.0,0,-4.0,-3.0,1490
2015,1,2,4,0.0,11.0,0,-4.0,-3.0,1490
2015,1,2,5,0.0,0.0,0,-3.0,-3.0,1490
2015,1,2,6,0.0,0.0,0,-4.0,-3.0,1490
2015,1,2,7,0.0,0.0,0,-4.0,-3.0,1490
2015,1,2,8,9.0,31.0,0,-6.0,-4.0,1490
2015,1,2,9,161.0,153.0,55,1.0,-2.0,1490
2015,1,2,10,300.0,234.0,151,8.0,1.0,1490
2015,1,2,11,214.0,71.0,76,4.0,1.0,1490
2015,1,2,12,1141.0,448.0,316,14.0,3.0,1490
2015,1,2,13,1120.0,402.0,335,11.0,3.0,1490
2015,1,2,14,919.0,318.0,299,11.0,4.0,1490
2015,1,2,15,606.0,326.0,210,9.0,3.0,1490
2015,1,2,16,255.0,107.0,100,4.0,2.0,1490
2015,1,2,17,18.0,33.0,0,0.0,1.0,1490
2015,1,2,18,0.0,0.0,0,-2.0,0.0,1490
2015,1,2,19,0.0,11.0,0,-1.0,0.0,1490
2015,1,2,20,0.0,11.0,0,-2.0,0.0,1490
2015,1,2,21,0.0,0.0,0,-2.0,-1.0,1490
