year,month,day,hour,gen,S_irradiation,H_irradiation,surface_temp,surround_temp,maxgen
2015,1,1,0,0.0,0.0,0,0.0,0.0,1625
2015,1,1,1,0.0,0.0,0,-3.0,-1.0,1625
2015,1,1,2,0.0,0.0,0,-2.0,-1.0,1625
2015,1,1,3,0.0,0.0,0,-2.0,-1.0,1625
2015,1,1,4,0.0,0.0,0,-2.0,-1.0,1625
2015,1,1,5,0.0,0.0,0,-2.0,-1.0,1625
2015,1,1,6,0.0,0.0,0,-4.0,-2.0,1625
2015,1,1,7,0.0,0.0,0,-7.0,-4.0,1625
2015,1,1,8,0.0,0.0,0,-5.0,-3.0,1625
2015,1,1,9,0.0,134.0,93,0.0,0.0,1625
2015,1,1,10,188.0,263.0,175,3.0,1.0,1625
2015,1,1,11,447.6,234.0,153,8.0,2.0,1625
2015,1,1,12,1339.2,553.0,373,15.0,4.0,1625
2015,1,1,13,1327.3,618.0,369,15.0,4.0,1625
2015,1,1,14,235.2,105.0,45,8.0,2.0,1625
2015,1,1,15,0.0,0.0,0,0.0,0.0,1625
2015,1,1,16,198.7,151.0,50,4.0,2.0,1625
2015,1,1,17,0.0,14.0,0,-1.0,0.0,1625
2015,1,1,18,0.0,0.0,0,-2.0,0.0,1625
2015,1,1,19,0.0,0.0,0,-1.0,0.0,1625
2015,1,1,20,0.0,0.0,0,-3.0,0.0,1625
2015,1,1,21,0.0,0.0,0,-2.0,-1.0,1625
2015,1,1,22,0.0,0.0,0,-3.0,-1.0,1625
2015,1,1,23,0.0,0.0,0,-4.0,-2.0,1625
2015,1,2,0,0.0,0.0,0,-4.0,-2.0,1625
2015,1,2,1,0.0,0.0,0,-3.0,-1.0,1625
2015,1,2,2,0.0,0.0,0,-4.0,-2.0,1625
2015,1,2,3,0.0,0.0,0,-2.0,-1.0,1625
2015,1,2,4,0.0,0.0,0,-2.0,-1.0,1625
2015,1,2,5,0.0,0.0,0,-3.0,-2.0,1625
2015,1,2,6,0.0,0.0,0,-3.0,-2.0,1625
2015,1,2,7,0.0,0.0,0,-6.0,-4.0,1625
2015,1,2,8,0.0,0.0,0,-4.0,-3.0,1625
2015,1,2,9,60.2,55.0,38,0.0,0.0,1625
2015,1,2,10,488.9,208.0,122,5.0,2.0,1625
2015,1,2,11,291.9,115.0,100,8.0,4.0,1625
2015,1,2,12,374.2,136.0,81,8.0,3.0,1625
2015,1,2,13,1201.8,556.0,304,15.0,6.0,1625
2015,1,2,14,1156.6,529.0,282,17.0,6.0,1625
2015,1,2,15,915.8,414.0,189,13.0,6.0,1625
2015,1,2,16,221.0,244.0,83,11.0,5.0,1625
2015,1,2,17,0.0,0.0,0,1.0,2.0,1625
2015,1,2,18,0.0,0.0,0,-1.0,1.0,1625
2015,1,2,19,0.0,0.0,0,-3.0,0.0,1625
2015,1,2,20,0.0,0.0,0,-5.0,-2.0,1625
2015,1,2,21,0.0,0.0,0,-6.0,-3.0,1625
2015,1,2,22,0.0,0.0,0,-6.0,-3.0,1625
2015,1,2,23,0.0,0.0,0,-7.0,-4.0,1625
2015,1,3,0,0.0,0.0,0,-7.0,-4.0,1625
2015,1,3,1,0.0,0.0,0,-7.0,-5.0,1625
2015,1,3,2,0.0,0.0,0,-8.0,-5.0,1625
2015,1,3,3,0.0,0.0,0,-8.0,-5.0,1625
2015,1,3,4,0.0,0.0,0,-8.0,-6.0,1625
2015,1,3,5,0.0,0.0,0,-8.0,-6.0,1625
2015,1,3,6,0.0,0.0,0,-9.0,-7.0,1625
2015,1,3,7,0.0,0.0,0,-9.0,-7.0,1625
2015,1,3,8,0.0,0.0,0,-8.0,-6.0,1625
2015,1,3,9,0.0,0.0,0,0.0,0.0,1625
2015,1,3,10,512.1,201.0,115,11.0,4.0,1625
2015,1,3,11,697.5,481.0,333,14.0,6.0,1625
2015,1,3,12,1189.3,560.0,350,21.0,9.0,1625
2015,1,3,13,1193.8,584.0,318,24.0,10.0,1625
2015,1,3,14,1157.3,563.0,352,24.0,11.0,1625
2015,1,3,15,882.5,371.0,198,21.0,11.0,1625
2015,1,3,16,230.5,220.0,59,15.0,9.0,1625
2015,1,3,17,0.0,11.0,14,4.0,5.0,1625
2015,1,3,18,0.0,0.0,0,-1.0,2.0,1625
2015,1,3,19,0.0,0.0,0,-1.0,1.0,1625
2015,1,3,20,0.0,0.0,0,1.0,2.0,1625
2015,1,3,21,0.0,0.0,0,0.0,1.0,1625
2015,1,3,22,0.0,0.0,0,1.0,2.0,1625
2015,1,3,23,0.0,0.0,0,2.0,3.0,1625
2015,1,4,0,0.0,0.0,0,2.0,3.0,1625
2015,1,4,1,0.0,0.0,0,2.0,2.0,1625
2015,1,4,2,0.0,0.0,0,-1.0,1.0,1625
2015,1,4,3,0.0,0.0,0,-1.0,1.0,1625
2015,1,4,4,0.0,0.0,0,-2.0,0.0,1625
2015,1,4,5,0.0,0.0,0,2.0,2.0,1625
2015,1,4,6,0.0,0.0,0,1.0,2.0,1625
2015,1,4,7,0.0,0.0,0,1.0,2.0,1625
2015,1,4,8,0.0,0.0,0,0.0,1.0,1625
2015,1,4,9,89.7,14.0,31,4.0,3.0,1625
2015,1,4,10,169.2,57.0,45,7.0,5.0,1625
2015,1,4,11,0.0,0.0,0,0.0,0.0,1625
2015,1,4,12,830.5,450.0,314,25.0,13.0,1625
2015,1,4,13,1085.6,457.0,314,27.0,16.0,1625
2015,1,4,14,936.1,357.0,268,27.0,16.0,1625
2015,1,4,15,699.1,270.0,196,24.0,15.0,1625
2015,1,4,16,244.3,127.0,103,17.0,13.0,1625
2015,1,4,17,0.4,0.0,0,9.0,10.0,1625
2015,1,4,18,0.0,0.0,0,4.0,6.0,1625
2015,1,4,19,0.0,0.0,0,2.0,5.0,1625
2015,1,4,20,0.0,0.0,0,2.0,4.0,1625
2015,1,4,21,0.0,0.0,0,1.0,4.0,1625
2015,1,4,22,0.0,0.0,0,0.0,3.0,1625
2015,1,4,23,0.0,0.0,0,0.0,1.0,1625
2015,1,5,0,0.0,0.0,0,-1.0,1.0,1625
2015,1,5,1,0.0,0.0,0,-1.0,2.0,1625
2015,1,5,2,0.0,0.0,0,-1.0,2.0,1625
2015,1,5,3,0.0,0.0,0,-1.0,0.0,1625
2015,1,5,4,0.0,0.0,0,1.0,2.0,1625
2015,1,5,5,0.0,0.0,0,2.0,3.0,1625
2015,1,5,6,0.0,0.0,0,2.0,3.0,1625
2015,1,5,7,0.0,0.0,0,3.0,3.0,1625
2015,1,5,8,0.0,0.0,0,3.0,3.0,1625
2015,1,5,9,4.9,11.0,0,5.0,4.0,1625
2015,1,5,10,97.1,43.0,38,6.0,5.0,1625
2015,1,5,11,162.3,67.0,98,7.0,5.0,1625
2015,1,5,12,282.5,107.0,117,9.0,6.0,1625
2015,1,5,13,520.0,234.0,172,15.0,8.0,1625
2015,1,5,14,833.6,290.0,227,26.0,14.0,1625
2015,1,5,15,361.2,124.0,122,15.0,12.0,1625
2015,1,5,16,115.7,52.0,19,12.0,12.0,1625
2015,1,5,17,0.0,0.0,0,10.0,10.0,1625
2015,1,5,18,0.0,0.0,0,7.0,8.0,1625
2015,1,5,19,0.0,0.0,0,7.0,8.0,1625
2015,1,5,20,0.0,0.0,0,7.0,8.0,1625
2015,1,5,21,0.0,0.0,0,7.0,8.0,1625
2015,1,5,22,0.0,0.0,0,7.0,7.0,1625
2015,1,5,23,0.0,0.0,0,7.0,8.0,1625
2015,1,6,0,0.0,0.0,0,8.0,8.0,1625
2015,1,6,1,0.0,0.0,0,8.0,8.0,1625
2015,1,6,2,0.0,0.0,0,7.0,8.0,1625
2015,1,6,3,0.0,0.0,0,7.0,7.0,1625
2015,1,6,4,0.0,0.0,0,7.0,7.0,1625
2015,1,6,5,0.0,0.0,0,7.0,7.0,1625
2015,1,6,6,0.0,0.0,0,6.0,7.0,1625
2015,1,6,7,0.0,0.0,0,5.0,6.0,1625
2015,1,6,8,0.0,0.0,0,3.0,5.0,1625
2015,1,6,9,165.1,220.0,139,9.0,6.0,1625
2015,1,6,10,914.9,402.0,225,15.0,7.0,1625
2015,1,6,11,1164.3,510.0,306,19.0,8.0,1625
2015,1,6,12,1300.7,577.0,407,21.0,9.0,1625
2015,1,6,13,1355.1,606.0,388,20.0,7.0,1625
2015,1,6,14,1239.5,529.0,335,19.0,8.0,1625
2015,1,6,15,1023.4,438.0,237,16.0,7.0,1625
2015,1,6,16,459.4,299.0,112,11.0,6.0,1625
2015,1,6,17,0.0,0.0,0,2.0,3.0,1625
2015,1,6,18,0.0,0.0,0,-2.0,1.0,1625
2015,1,6,19,0.0,0.0,0,-3.0,0.0,1625
2015,1,6,20,0.0,0.0,0,-3.0,0.0,1625
2015,1,6,21,0.0,0.0,0,-4.0,-1.0,1625
2015,1,6,22,0.0,0.0,0,-4.0,-1.0,1625
2015,1,6,23,0.0,0.0,0,-4.0,-1.0,1625
2015,1,7,0,0.0,0.0,0,-4.0,-1.0,1625
2015,1,7,1,0.0,0.0,0,-5.0,-3.0,1625
2015,1,7,2,0.0,0.0,0,-4.0,-1.0,1625
2015,1,7,3,0.0,0.0,0,-5.0,-3.0,1625
2015,1,7,4,0.0,0.0,0,-7.0,-4.0,1625
2015,1,7,5,0.0,0.0,0,-6.0,-3.0,1625
2015,1,7,6,0.0,0.0,0,-6.0,-3.0,1625
2015,1,7,7,0.0,0.0,0,-7.0,-4.0,1625
2015,1,7,8,0.0,0.0,0,-7.0,-5.0,1625
2015,1,7,9,116.7,254.0,167,3.0,0.0,1625
2015,1,7,10,576.7,292.0,158,13.0,5.0,1625
2015,1,7,11,1172.9,525.0,314,19.0,6.0,1625
2015,1,7,12,1293.0,601.0,364,20.0,7.0,1625
2015,1,7,13,1298.5,606.0,378,21.0,8.0,1625
2015,1,7,14,1187.1,548.0,309,20.0,7.0,1625
2015,1,7,15,954.4,443.0,249,18.0,8.0,1625
2015,1,7,16,439.5,273.0,95,13.0,7.0,1625
2015,1,7,17,0.0,0.0,11,2.0,3.0,1625
2015,1,7,18,0.0,0.0,0,-1.0,2.0,1625
2015,1,7,19,0.0,0.0,0,-4.0,-1.0,1625
2015,1,7,20,0.0,0.0,0,-5.0,-2.0,1625
2015,1,7,21,0.0,0.0,0,-5.0,-3.0,1625
2015,1,7,22,0.0,0.0,0,-6.0,-3.0,1625
2015,1,7,23,0.0,0.0,0,-6.0,-4.0,1625
2015,1,8,0,0.0,0.0,0,-7.0,-4.0,1625
2015,1,8,1,0.0,0.0,0,-7.0,-4.0,1625
2015,1,8,2,0.0,0.0,0,-8.0,-5.0,1625
2015,1,8,3,0.0,0.0,0,-8.0,-4.0,1625
2015,1,8,4,0.0,0.0,0,-8.0,-5.0,1625
2015,1,8,5,0.0,0.0,0,-8.0,-5.0,1625
2015,1,8,6,0.0,0.0,0,-8.0,-5.0,1625
2015,1,8,7,0.0,0.0,0,-8.0,-6.0,1625
2015,1,8,8,0.0,0.0,0,-8.0,-6.0,1625
2015,1,8,9,101.6,208.0,127,3.0,-1.0,1625
2015,1,8,10,727.0,371.0,249,12.0,4.0,1625
