대상,정격용량,년,월,일,시,인버터출력,경사일사량,수평일사량,표면온도,주위온도
경기도연성,1490,2016,1,1,0,0,0,0,0,2
경기도연성,1490,2016,1,1,1,0,0,0,-1,1
경기도연성,1490,2016,1,1,2,0,0,0,-1,1
경기도연성,1490,2016,1,1,3,0,11,0,-1,1
경기도연성,1490,2016,1,1,4,0,0,0,0,1
경기도연성,1490,2016,1,1,5,0,0,0,0,1
경기도연성,1490,2016,1,1,6,0,38,0,2,1
경기도연성,1490,2016,1,1,7,0,0,0,0,1
경기도연성,1490,2016,1,1,8,0,21,0,1,1
경기도연성,1490,2016,1,1,9,278,158,47,6,4
경기도연성,1490,2016,1,1,10,214,124,67,7,5
경기도연성,1490,2016,1,1,11,261,52,74,10,7
경기도연성,1490,2016,1,1,12,929,230,146,25,14
경기도연성,1490,2016,1,1,13,277,93,76,17,11
경기도연성,1490,2016,1,1,14,247,124,55,14,10
경기도연성,1490,2016,1,1,15,173,110,28,12,9
경기도연성,1490,2016,1,1,16,147,76,47,11,9
경기도연성,1490,2016,1,1,17,0,11,0,8,8
경기도연성,1490,2016,1,1,18,0,11,0,7,7
경기도연성,1490,2016,1,1,19,0,0,0,7,7
경기도연성,1490,2016,1,1,20,0,0,0,7,7
경기도연성,1490,2016,1,1,21,0,0,0,7,7
경기도연성,1490,2016,1,1,22,0,0,0,7,7
경기도연성,1490,2016,1,1,23,0,0,0,7,7
경기도연성,1490,2016,1,2,0,0,0,0,7,7
경기도연성,1490,2016,1,2,1,0,0,0,7,7
경기도연성,1490,2016,1,2,2,0,0,0,6,7
경기도연성,1490,2016,1,2,3,0,0,0,5,7
경기도연성,1490,2016,1,2,4,0,0,0,6,7
경기도연성,1490,2016,1,2,5,0,0,0,6,7
경기도연성,1490,2016,1,2,6,0,0,0,5,6
경기도연성,1490,2016,1,2,7,0,23,0,5,6
경기도연성,1490,2016,1,2,8,5,67,0,5,6
경기도연성,1490,2016,1,2,9,105,95,0,7,7
경기도연성,1490,2016,1,2,10,303,208,86,21,12
경기도연성,1490,2016,1,2,11,547,191,115,24,13
경기도연성,1490,2016,1,2,12,271,139,50,16,13
경기도연성,1490,2016,1,2,13,359,129,95,17,14
경기도연성,1490,2016,1,2,14,329,98,86,21,15
경기도연성,1490,2016,1,2,15,460,182,105,21,15
경기도연성,1490,2016,1,2,16,128,69,23,14,13
경기도연성,1490,2016,1,2,17,20,16,0,11,12
경기도연성,1490,2016,1,2,18,0,0,0,8,10
경기도연성,1490,2016,1,2,19,0,0,0,7,9
경기도연성,1490,2016,1,2,20,0,0,0,9,10
경기도연성,1490,2016,1,2,21,0,0,0,9,10
경기도연성,1490,2016,1,2,22,0,21,0,8,9
경기도연성,1490,2016,1,2,23,0,11,0,9,9
경기도연성,1490,2016,1,3,0,0,0,0,7,9
경기도연성,1490,2016,1,3,1,0,0,0,7,8
경기도연성,1490,2016,1,3,2,0,16,0,7,8
경기도연성,1490,2016,1,3,3,0,0,0,6,8
경기도연성,1490,2016,1,3,4,0,0,0,9,9
경기도연성,1490,2016,1,3,5,0,14,0,9,9
경기도연성,1490,2016,1,3,6,0,0,0,9,9
경기도연성,1490,2016,1,3,7,0,0,0,8,8
경기도연성,1490,2016,1,3,8,0,0,0,9,8
경기도연성,1490,2016,1,3,9,46,45,16,10,9
경기도연성,1490,2016,1,3,10,94,95,47,12,10
경기도연성,1490,2016,1,3,11,211,148,86,15,11
