시간,부하(kW),ESS,,풍력 #1,,풍력 #2,,풍력 #3,,풍력 #4,,"수평면일사량
(w/m2)","경사면일사량
(w/m2)","태양광 #1
유효전력(kW)","태양광 #2
유효전력(kW)","태양광 #3
유효전력(kW)","태양광 #4
유효전력(kW)","디젤 #1
유효전력(kW)","디젤 #2
유효전력(kW)","디젤 #3
유효전력(kW)"
,,SOC(%),유효전력(kW),풍속(m/s),유효전력(kW),풍속(m/s),유효전력(kW),풍속(m/s),유효전력(kW),풍속(m/s),유효전력(kW),,,,,,,,,
201601010000 ,121.735,47,109.857,3.128,3.07,4.154,3.559,3.718,3.65,3.312,1.599,0,0,0,0,0,0,0,0,0
201601010015 ,121.356,46.1,111.953,4.174,2.471,4.071,4.541,3.312,1.08,2.654,1.311,0,0,0,0,0,0,0,0,0
201601010030 ,120.458,45.1,112.802,3.579,7.862,2.724,0.368,2.393,0.119,2.512,-0.693,0,0,0,0,0,0,0,0,0
201601010045 ,144.644,44.2,130.485,3.93,2.481,4.872,5.436,4.093,3.658,3.332,2.584,0,0,0,0,0,0,0,0,0
201601010100 ,139.243,43.1,136.852,3.04,0.884,2.691,0.766,2.785,0.587,2.707,0.154,0,0,0,0,0,0,0,0,0
201601010115 ,129.036,42.2,114.577,4.399,2.852,4.058,3.723,5.104,6.231,4.056,1.653,0,0,0,0,0,0,0,0,0
201601010130 ,137.342,41.3,128.61,2.77,2.606,2.659,-0.29,3.743,2.381,3.579,4.035,0,0,0,0,0,0,0,0,0
201601010145 ,147.135,40.4,126.749,5.582,4.331,4.958,8.037,3.579,1.064,4.86,6.954,0,0,0,0,0,0,0,0,0
201601010200 ,117.61,39.7,115.586,3.051,-0.3,3.113,1.723,3.375,0.869,3.09,-0.268,0,0,0,0,0,0,0,0,0
201601010215 ,113.366,39.1,91.8,4.16,1.477,4.53,5.237,4.882,7.893,4.568,6.959,0,0,0,0,0,0,0,0,0
201601010230 ,124.026,38.4,101.6,3.79,-0.275,4.416,5.156,4.279,4.774,5.706,12.771,0,0,0,0,0,0,0,0,0
201601010245 ,127.263,37.5,116.53,3.958,1.025,3.286,2.917,3.716,2.794,4.429,3.997,0,0,0,0,0,0,0,0,0
201601010300 ,125.945,36.6,95.039,4.729,0.932,4.961,7.632,5.275,9.467,6.73,12.875,0,0,0,0,0,0,0,0,0
201601010315 ,114.238,35.7,98.605,3.511,0.974,3.98,2.625,4.995,6.442,4.412,5.592,0,0,0,0,0,0,0,0,0
201601010330 ,114.602,34.9,107.441,2.712,1.686,3.049,1.021,3.876,1.974,3.811,2.48,0,0,0,0,0,0,0,0,0
201601010345 ,115.067,34.1,99.417,3.818,2.886,3.576,4.111,3.395,2.218,5.2,6.435,0,0,0,0,0,0,0,0,0
201601010400 ,123.926,33.1,103.498,3.639,3.871,3.997,3.69,4.162,7.557,4.532,5.31,0,0,0,0,0,0,0,0,0
201601010415 ,120.204,32.1,112.623,4.248,1.839,4.197,3.716,2.632,0.211,3.455,1.815,0,0,0,0,0,0,0,0,0
201601010430 ,104.962,31.3,101.768,2.878,0.753,2.682,0.246,3.569,2.377,2.324,-0.182,0,0,0,0,0,0,0,0,0
