day,hour,minute,gen,H_irradiation,S_irradiation
1.0,0.0,0.0,0.0,0.0,0.0
1.0,0.0,15.0,0.0,0.0,0.0
1.0,0.0,30.0,0.0,0.0,0.0
1.0,0.0,45.0,0.0,0.0,0.0
1.0,1.0,0.0,0.0,0.0,0.0
1.0,1.0,15.0,0.0,0.0,0.0
1.0,1.0,30.0,0.0,0.0,0.0
1.0,1.0,45.0,0.0,0.0,0.0
1.0,2.0,0.0,0.0,0.0,0.0
1.0,2.0,15.0,0.0,0.0,0.0
1.0,2.0,30.0,0.0,0.0,0.0
1.0,2.0,45.0,0.0,0.0,0.0
1.0,3.0,0.0,0.0,0.0,0.0
1.0,3.0,15.0,0.0,0.0,0.0
1.0,3.0,30.0,0.0,0.0,0.0
1.0,3.0,45.0,0.0,0.0,0.0
1.0,4.0,0.0,0.0,0.0,0.0
1.0,4.0,15.0,0.0,0.0,0.0
1.0,4.0,30.0,0.0,0.0,0.0
1.0,4.0,45.0,0.0,0.0,0.0
1.0,5.0,0.0,0.0,0.0,0.0
1.0,5.0,15.0,0.0,0.0,0.0
1.0,5.0,30.0,0.0,0.0,0.0
1.0,5.0,45.0,0.0,0.0,0.0
1.0,6.0,0.0,0.0,0.0,0.0
1.0,6.0,15.0,0.0,0.0,0.0
1.0,6.0,30.0,0.0,0.0,0.0
1.0,6.0,45.0,0.0,0.0,0.0
1.0,7.0,0.0,0.0,0.0,0.0
1.0,7.0,15.0,0.0,0.0,0.0
1.0,7.0,30.0,0.0,0.0,0.0
1.0,7.0,45.0,0.0,0.0,0.0
1.0,8.0,0.0,0.0,0.0,0.0
1.0,8.0,15.0,0.7,0.0,0.0
1.0,8.0,30.0,1.0,0.0,0.0
1.0,8.0,45.0,1.4,1.0,0.0
1.0,9.0,0.0,1.4,5.0,3.0
1.0,9.0,15.0,2.2,15.0,11.0
1.0,9.0,30.0,4.1,46.0,45.0
1.0,9.0,45.0,4.4,38.0,38.0
1.0,10.0,0.0,7.1,67.0,62.0
1.0,10.0,15.0,5.8,61.0,57.0
1.0,10.0,30.0,9.8,112.0,112.0
1.0,10.0,45.0,9.3,118.0,126.0
1.0,11.0,0.0,11.3,137.0,147.0
1.0,11.0,15.0,10.7,104.0,106.0
1.0,11.0,30.0,36.0,454.0,656.0
1.0,11.0,45.0,15.4,116.0,126.0
1.0,12.0,0.0,33.2,460.0,680.0
1.0,12.0,15.0,18.1,267.0,387.0
1.0,12.0,30.0,17.8,143.0,183.0
1.0,12.0,45.0,16.0,287.0,400.0
1.0,13.0,0.0,35.4,412.0,629.0
1.0,13.0,15.0,29.9,265.0,393.0
1.0,13.0,30.0,36.4,457.0,698.0
1.0,13.0,45.0,32.7,380.0,596.0
1.0,14.0,0.0,21.7,178.0,209.0
1.0,14.0,15.0,34.8,487.0,704.0
1.0,14.0,30.0,29.3,119.0,148.0
1.0,14.0,45.0,10.4,177.0,261.0
1.0,15.0,0.0,29.7,394.0,577.0
1.0,15.0,15.0,11.9,80.0,88.0
1.0,15.0,30.0,24.9,291.0,191.0
1.0,15.0,45.0,17.8,55.0,52.0
1.0,16.0,0.0,10.6,47.0,55.0
1.0,16.0,15.0,4.1,39.0,45.0
1.0,16.0,30.0,3.1,27.0,27.0
1.0,16.0,45.0,3.7,30.0,35.0
1.0,17.0,0.0,1.4,0.0,1.0
1.0,17.0,15.0,1.5,7.0,7.0
1.0,17.0,30.0,1.0,0.0,0.0
1.0,17.0,45.0,0.7,0.0,0.0
1.0,18.0,0.0,0.0,0.0,0.0
1.0,18.0,15.0,0.0,0.0,0.0
1.0,18.0,30.0,0.0,0.0,0.0
1.0,18.0,45.0,0.0,0.0,0.0
1.0,19.0,0.0,0.0,0.0,0.0
1.0,19.0,15.0,0.0,0.0,0.0
1.0,19.0,30.0,0.0,0.0,0.0
1.0,19.0,45.0,0.0,0.0,0.0
1.0,20.0,0.0,0.0,0.0,0.0
1.0,20.0,15.0,0.0,0.0,0.0
1.0,20.0,30.0,0.0,0.0,0.0
1.0,20.0,45.0,0.0,0.0,0.0
1.0,21.0,0.0,0.0,0.0,0.0
1.0,21.0,15.0,0.0,0.0,0.0
1.0,21.0,30.0,0.0,0.0,0.0
1.0,21.0,45.0,0.0,0.0,0.0
1.0,22.0,0.0,0.0,0.0,0.0
1.0,22.0,15.0,0.0,0.0,0.0
1.0,22.0,30.0,0.0,0.0,0.0
1.0,22.0,45.0,0.0,0.0,0.0
1.0,23.0,0.0,0.0,0.0,0.0
1.0,23.0,15.0,0.0,0.0,0.0
1.0,23.0,30.0,0.0,0.0,0.0
1.0,23.0,45.0,0.0,0.0,0.0
2.0,0.0,0.0,0.0,0.0,0.0
2.0,0.0,15.0,0.0,0.0,0.0
2.0,0.0,30.0,0.0,0.0,0.0
2.0,0.0,45.0,0.0,0.0,0.0
2.0,1.0,0.0,0.0,0.0,0.0
2.0,1.0,15.0,0.0,0.0,0.0
2.0,1.0,30.0,0.0,0.0,0.0
2.0,1.0,45.0,0.0,0.0,0.0
2.0,2.0,0.0,0.0,0.0,0.0
2.0,2.0,15.0,0.0,0.0,0.0
2.0,2.0,30.0,0.0,0.0,0.0
2.0,2.0,45.0,0.0,0.0,0.0
2.0,3.0,0.0,0.0,0.0,0.0
2.0,3.0,15.0,0.0,0.0,0.0
2.0,3.0,30.0,0.0,0.0,0.0
2.0,3.0,45.0,0.0,0.0,0.0
2.0,4.0,0.0,0.0,0.0,0.0
2.0,4.0,15.0,0.0,0.0,0.0
2.0,4.0,30.0,0.0,0.0,0.0
2.0,4.0,45.0,0.0,0.0,0.0
2.0,5.0,0.0,0.0,0.0,0.0
2.0,5.0,15.0,0.0,0.0,0.0
2.0,5.0,30.0,0.0,0.0,0.0
2.0,5.0,45.0,0.0,0.0,0.0
2.0,6.0,0.0,0.0,0.0,0.0
2.0,6.0,15.0,0.0,0.0,0.0
2.0,6.0,30.0,0.0,0.0,0.0
2.0,6.0,45.0,0.0,0.0,0.0
2.0,7.0,0.0,0.0,0.0,0.0
2.0,7.0,15.0,0.0,0.0,0.0
2.0,7.0,30.0,0.0,0.0,0.0
2.0,7.0,45.0,0.0,0.0,0.0
2.0,8.0,0.0,0.0,0.0,0.0
2.0,8.0,15.0,0.0,0.0,0.0
2.0,8.0,30.0,0.9,0.0,0.0
2.0,8.0,45.0,2.3,16.0,15.0
2.0,9.0,0.0,2.6,17.0,15.0
2.0,9.0,15.0,2.6,20.0,18.0
2.0,9.0,30.0,8.0,62.0,68.0
2.0,9.0,45.0,9.7,67.0,74.0
2.0,10.0,0.0,9.2,97.0,100.0
2.0,10.0,15.0,7.7,80.0,80.0
2.0,10.0,30.0,8.0,102.0,96.0
2.0,10.0,45.0,8.7,107.0,106.0
2.0,11.0,0.0,7.8,92.0,90.0
2.0,11.0,15.0,16.1,155.0,190.0
2.0,11.0,30.0,23.1,303.0,438.0
2.0,11.0,45.0,25.6,257.0,364.0
2.0,12.0,0.0,30.9,344.0,464.0
2.0,12.0,15.0,19.0,266.0,325.0
2.0,12.0,30.0,9.2,116.0,118.0
2.0,12.0,45.0,9.7,125.0,117.0
2.0,13.0,0.0,8.0,99.0,90.0
