 format: day,hour,forecast,value location:57_123 Start : 20150101 
 1,0030,+1,1.000000 
 1,0030,+2,1.000000 
 1,0030,+3,1.000000 
 1,0130,+1,1.000000 
 1,0130,+2,1.000000 
 1,0230,+1,1.000000 
 1,0230,+2,1.000000 
 1,0230,+3,1.000000 
 1,0230,+4,1.000000 
 1,0330,+1,1.000000 
 1,0330,+2,1.000000 
 1,0330,+3,1.000000 
 1,0430,+1,1.000000 
 1,0430,+2,1.000000 
 1,0530,+1,1.000000 
 1,0530,+2,1.000000 
 1,0530,+3,1.000000 
 1,0530,+4,1.000000 
 1,0630,+1,1.000000 
 1,0630,+2,1.000000 
 1,0630,+3,1.000000 
 1,0730,+1,1.000000 
 1,0730,+2,1.000000 
 1,0830,+1,1.000000 
 1,0830,+2,1.000000 
 1,0830,+3,1.000000 
 1,0830,+4,1.000000 
 1,0930,+1,1.000000 
 1,0930,+2,1.000000 
 1,0930,+3,1.000000 
 1,1030,+1,1.000000 
 1,1030,+2,1.000000 
 1,1130,+1,1.000000 
 1,1130,+2,1.000000 
 1,1130,+3,1.000000 
 1,1130,+4,1.000000 
 1,1230,+1,1.000000 
 1,1230,+2,1.000000 
 1,1230,+3,2.000000 
 1,1330,+1,1.000000 
 1,1330,+2,2.000000 
 1,1430,+1,2.000000 
 1,1430,+2,2.000000 
 1,1430,+3,2.000000 
 1,1430,+4,2.000000 
 1,1530,+1,3.000000 
 1,1530,+2,3.000000 
 1,1530,+3,3.000000 
 1,1630,+1,3.000000 
 1,1630,+2,3.000000 
 1,1730,+1,3.000000 
 1,1730,+2,3.000000 
 1,1730,+3,3.000000 
 1,1730,+4,3.000000 
 1,1830,+1,3.000000 
 1,1830,+2,3.000000 
 1,1830,+3,3.000000 
 1,1930,+1,3.000000 
 1,1930,+2,3.000000 
 1,2030,+1,3.000000 
 1,2030,+2,3.000000 
 1,2030,+3,3.000000 
 1,2030,+4,3.000000 
 1,2130,+1,2.000000 
 1,2130,+2,3.000000 
 1,2130,+3,3.000000 
 1,2230,+1,3.000000 
 1,2230,+2,3.000000 
 1,2330,+1,2.000000 
 1,2330,+2,2.000000 
 1,2330,+3,3.000000 
 1,2330,+4,3.000000 
 2,0030,+1,3.000000 
 2,0030,+2,3.000000 
 2,0030,+3,3.000000 
 2,0130,+1,3.000000 
 2,0130,+2,3.000000 
 2,0230,+1,2.000000 
 2,0230,+2,2.000000 
 2,0230,+3,1.000000 
 2,0230,+4,1.000000 
 2,0330,+1,1.000000 
 2,0330,+2,1.000000 
 2,0330,+3,1.000000 
 2,0430,+1,1.000000 
 2,0430,+2,1.000000 
 2,0530,+1,1.000000 
 2,0530,+2,1.000000 
 2,0530,+3,1.000000 
 2,0530,+4,1.000000 
 2,0630,+1,1.000000 
 2,0630,+2,1.000000 
 2,0630,+3,1.000000 
 2,0730,+1,1.000000 
 2,0730,+2,1.000000 
 2,0830,+1,1.000000 
 2,0830,+2,1.000000 
 2,0830,+3,1.000000 
 2,0830,+4,1.000000 
 2,0930,+1,1.000000 
 2,0930,+2,1.000000 
 2,0930,+3,1.000000 
 2,1030,+1,1.000000 
 2,1030,+2,1.000000 
 2,1130,+1,1.000000 
 2,1130,+2,1.000000 
 2,1130,+3,1.000000 
 2,1130,+4,1.000000 
 2,1230,+1,1.000000 
 2,1230,+2,1.000000 
 2,1230,+3,1.000000 
 2,1330,+1,1.000000 
 2,1330,+2,1.000000 
 2,1430,+1,1.000000 
 2,1430,+2,1.000000 
 2,1430,+3,1.000000 
 2,1430,+4,1.000000 
 2,1530,+1,1.000000 
 2,1530,+2,1.000000 
 2,1530,+3,1.000000 
 2,1630,+1,1.000000 
 2,1630,+2,1.000000 
 2,1730,+1,1.000000 
 2,1730,+2,1.000000 
 2,1730,+3,1.000000 
 2,1730,+4,1.000000 
 2,1830,+1,1.000000 
 2,1830,+2,1.000000 
 2,1830,+3,1.000000 
 2,1930,+1,1.000000 
 2,1930,+2,1.000000 
 2,2030,+1,1.000000 
 2,2030,+2,1.000000 
 2,2030,+3,1.000000 
 2,2030,+4,1.000000 
 2,2130,+1,1.000000 
 2,2130,+2,1.000000 
 2,2130,+3,1.000000 
 2,2230,+1,1.000000 
 2,2230,+2,1.000000 
 2,2330,+1,1.000000 
 2,2330,+2,1.000000 
 2,2330,+3,1.000000 
 2,2330,+4,1.000000 
 3,0030,+1,3.000000 
 3,0030,+2,3.000000 
 3,0030,+3,3.000000 
 3,0130,+1,3.000000 
 3,0130,+2,3.000000 
 3,0230,+1,1.000000 
 3,0230,+2,1.000000 
 3,0230,+3,1.000000 
 3,0230,+4,1.000000 
 3,0330,+1,1.000000 
 3,0330,+2,1.000000 
 3,0330,+3,1.000000 
 3,0430,+1,1.000000 
 3,0430,+2,1.000000 
 3,0530,+1,1.000000 
 3,0530,+2,1.000000 
 3,0530,+3,1.000000 
 3,0530,+4,1.000000 
 3,0630,+1,2.000000 
 3,0630,+2,2.000000 
 3,0630,+3,2.000000 
 3,0730,+1,3.000000 
 3,0730,+2,3.000000 
 3,0830,+1,4.000000 
 3,0830,+2,4.000000 
 3,0830,+3,4.000000 
 3,0830,+4,4.000000 
 3,0930,+1,4.000000 
 3,0930,+2,4.000000 
 3,0930,+3,4.000000 
 3,1030,+1,4.000000 
 3,1030,+2,4.000000 
 3,1130,+1,3.000000 
 3,1130,+2,3.000000 
 3,1130,+3,3.000000 
 3,1130,+4,3.000000 
 3,1230,+1,3.000000 
 3,1230,+2,3.000000 
 3,1230,+3,3.000000 
 3,1330,+1,3.000000 
 3,1330,+2,3.000000 
 3,1430,+1,3.000000 
 3,1430,+2,4.000000 
 3,1430,+3,4.000000 
 3,1430,+4,4.000000 
 3,1530,+1,4.000000 
 3,1530,+2,4.000000 
 3,1530,+3,4.000000 
 3,1630,+1,4.000000 
 3,1630,+2,4.000000 
 3,1730,+1,4.000000 
 3,1730,+2,3.000000 
 3,1730,+3,3.000000 
 3,1730,+4,3.000000 
 3,1830,+1,3.000000 
 3,1830,+2,3.000000 
 3,1830,+3,3.000000 
 3,1930,+1,3.000000 
 3,1930,+2,3.000000 
 3,2030,+1,3.000000 
 3,2030,+2,3.000000 
 3,2030,+3,2.000000 
 3,2030,+4,2.000000 
 3,2130,+1,3.000000 
 3,2130,+2,2.000000 
 3,2130,+3,2.000000 
 3,2230,+1,3.000000 
 3,2230,+2,2.000000 
 3,2330,+1,3.000000 
 3,2330,+2,3.000000 
 3,2330,+3,3.000000 
 3,2330,+4,3.000000 
 4,0030,+1,3.000000 
 4,0030,+2,3.000000 
 4,0030,+3,3.000000 
 4,0130,+1,3.000000 
 4,0130,+2,3.000000 
 4,0230,+1,3.000000 
 4,0230,+2,3.000000 
 4,0230,+3,2.000000 
 4,0230,+4,2.000000 
 4,0330,+1,3.000000 
 4,0330,+2,2.000000 
 4,0330,+3,2.000000 
 4,0430,+1,2.000000 
 4,0430,+2,2.000000 
 4,0530,+1,1.000000 
 4,0530,+2,1.000000 
 4,0530,+3,1.000000 
 4,0530,+4,1.000000 
 4,0630,+1,1.000000 
 4,0630,+2,1.000000 
 4,0630,+3,1.000000 
 4,0730,+1,1.000000 
 4,0730,+2,1.000000 
 4,0830,+1,1.000000 
 4,0830,+2,1.000000 
 4,0830,+3,1.000000 
 4,0830,+4,1.000000 
 4,0930,+1,1.000000 
 4,0930,+2,1.000000 
 4,0930,+3,1.000000 
 4,1030,+1,1.000000 
 4,1030,+2,1.000000 
 4,1130,+1,1.000000 
 4,1130,+2,1.000000 
 4,1130,+3,1.000000 
 4,1130,+4,1.000000 
 4,1230,+1,1.000000 
 4,1230,+2,1.000000 
 4,1230,+3,1.000000 
 4,1330,+1,1.000000 
 4,1330,+2,1.000000 
 4,1430,+1,1.000000 
 4,1430,+2,1.000000 
 4,1430,+3,2.000000 
 4,1430,+4,2.000000 
 4,1530,+1,1.000000 
 4,1530,+2,2.000000 
 4,1530,+3,2.000000 
 4,1630,+1,1.000000 
 4,1630,+2,2.000000 
 4,1730,+1,2.000000 
 4,1730,+2,2.000000 
 4,1730,+3,2.000000 
 4,1730,+4,2.000000 
 4,1830,+1,2.000000 
 4,1830,+2,2.000000 
 4,1830,+3,2.000000 
 4,1930,+1,2.000000 
 4,1930,+2,2.000000 
 4,2030,+1,3.000000 
 4,2030,+2,3.000000 
 4,2030,+3,3.000000 
